team_name,matches_played,total_points_scored,total_points_conceded,team_avg_points,team_success_raids,team_raid_points,team_avg_raid_points,team_success_tackles,team_tackle_points,team_avg_tackle_points,team_super_raids,team_super_tackles,team_dod_raid_points,team_allouts_inflicted,team_allouts_conceded
dabang-delhi-kc,19,709,617,31.31,340,414,21.79,175,181,9.53,8,8,47,33,15
bengal-warriors,19,676,590,30.63,318,398,20.95,174,184,9.68,15,12,51,31,16
bengaluru-bulls,19,656,644,30.73,309,393,20.68,168,191,10.05,8,25,42,21,24
puneri-paltan,20,652,723,29.5,290,358,17.9,207,232,11.6,6,25,60,18,33
haryana-steelers,19,650,626,30.1,290,377,19.84,181,195,10.26,14,14,71,27,21
patna-pirates,19,640,641,29.42,291,368,19.37,168,191,10.05,13,23,69,28,23
jaipur-pink-panthers,20,626,644,27.8,261,337,16.85,189,219,10.95,7,32,73,19,23
gujarat-fortunegiants,20,605,591,26.15,265,320,16,187,203,10.15,5,17,59,21,22
telugu-titans,18,564,603,28.55,273,332,18.44,162,182,10.11,9,21,44,13,22
u-mumba,18,562,529,26.66,238,304,16.89,162,176,9.78,7,16,66,25,20
up-yoddha,18,551,570,26.72,223,289,16.06,177,192,10.67,5,16,71,21,22
tamil-thalaivas,19,546,659,25.68,259,326,17.16,151,162,8.53,4,13,52,13,29
